collection,repunit,grpvec
Catherine Cr,Snake_R_sp,36
Chamberlain Cr,Snake_R_sp,36
Clearwater R (Snake),Snake_R_sp,36
Crooked Fork (Lochsa R),Snake_R_sp,36
Crooked R,Snake_R_sp,36
EF Salmon R,Snake_R_sp,36
Elk Cr (MF Salmon R),Snake_R_sp,36
Grand Ronde R,Snake_R_sp,36
Herd Cr,Snake_R_sp,36
Imnaha R,Snake_R_sp,36
Johnson Cr,Snake_R_sp,36
Lake Cr (Sesech R),Snake_R_sp,36
Lemhi R,Snake_R_sp,36
Lochsa R,Snake_R_sp,36
Lolo Cr,Snake_R_sp,36
Loon Cr,Snake_R_sp,36
Lostine R,Snake_R_sp,36
Marsh Cr,Snake_R_sp,36
McCall Fish H,Snake_R_sp,36
Minam R,Snake_R_sp,36
Newsome Cr,Snake_R_sp,36
Nez Perce H,Snake_R_sp,36
NF Salmon R,Snake_R_sp,36
Pahsimeroi R,Snake_R_sp,36
Rapid R,Snake_R_sp,36
Red R,Snake_R_sp,36
Sawtooth Weir,Snake_R_sp,36
Secesh R,Snake_R_sp,36
SF Salmon R,Snake_R_sp,36
Sulphur Cr,Snake_R_sp,36
Summit Cr,Snake_R_sp,36
Up Salmon R,Snake_R_sp,36
Valley Cr,Snake_R_sp,36
Wallowa R,Snake_R_sp,36
WF Yankee Fork,Snake_R_sp,36
Spring Creek H,Spring_Cr_Group_tule,37
Spring Creek NFH (from mixed fishery),Spring_Cr_Group_tule,37
White Salmon R,Spring_Cr_Group_tule,37
Lower Yakima R,Up_Columbia_R_su/fa,38
Methow R,Up_Columbia_R_su/fa,38
Wells H,Up_Columbia_R_su/fa,38
Wenatchee R - Tumwater Dryden,Up_Columbia_R_su/fa,38
White R from mixed fishery,Up_Columbia_R_su/fa,38
Cowlitz H fa,W_Cascade_fa,39
Lewis R,W_Cascade_fa,39
North Fork Lewis R,W_Cascade_fa,39
Sandy R (Columbia),W_Cascade_fa,39
Cowlitz H sp,W_Cascade_sp,40
Elochoman R,W_Cascade_sp,40
Kalama Falls H,W_Cascade_sp,40
McKenzie Fish H,Willamette_R,41
McKenzie H,Willamette_R,41
N Santiam,Willamette_R,41
N Santiam H,Willamette_R,41
Eel R,CA_Cst,42
Battle Cr,Cent_Valley_fa,43
Butte Cr fa,Cent_Valley_fa,43
Mill Cr fa,Cent_Valley_fa,43
Mokelumne R,Cent_Valley_fa,43
Sacramento R - - Lower fork,Cent_Valley_fa,43
Butte Cr Sp,Cent_Valley_sp,44
Mill Cr sp,Cent_Valley_sp,44
Upper Sacramento R sp,Cent_Valley_sp,44
Sacramento H,Cent_Valley_wi,45
Klamath R fa,Klamath_R,46
Trinity H sp,Klamath_R,46
Nehalem R,N/Mid_OR_Cst,47
Siletz R,N/Mid_OR_Cst,47
Chetco R,N_CA/S_OR_Cst,48
Smith R,N_CA/S_OR_Cst,48
Applegate Cr,Rogue_R,49
Cole Rivers H,Rogue_R,49
