OffspCollection	Kid	Pa	Ma	PopName	SpawnYear	FDR	Pvalue	LOD	P.Pr.C_Se_Se	P.Pr.Max	MaxP.Pr.Relat	TotPaNonExc	TotMaNonExc	TotUnkNonExc	TotPairsMendCompat	TotPairsMendAndLogL	TotParsMendLoglAndRank	TotPairsNonExc	KidMiss	PaMiss	MaMiss	MI.Kid.Pa	MI.Kid.Ma	MI.Trio	MendIncLoci
JSOES_May2024	90839-143	OtsRAPH22S_2897	OtsRAPH22S_0920	Rapid_River	2022	0.000000	0.000000	20.342581	0.997967	0.997967	C_Se_Se	23	25	0	1	1	1	1	2	0	3	0	0	0	---
JSOES_May2024	90839-144	OtsPBT22-LWSSp-0052	OtsPBT22-LWSSp-0152	Little_White_Salmon_sp	2022	0.000000	0.000000	19.072353	0.992795	0.992795	C_Se_Se	253	313	0	4	4	4	4	1	0	0	0	0	0	---
JSOES_May2024	90839-145	OtsRAPH22S_2456	OtsRAPH22S_0466	Rapid_River	2022	0.000446	0.004000	18.840029	0.990928	0.990928	C_Se_Se	70	82	0	1	1	1	1	1	0	3	0	0	0	---
JSOES_May2024	90839-148	OtsRAPH22S_2048	OtsRAPH22S_0050	Rapid_River	2022	0.000356	0.003000	17.827742	0.975425	0.975425	C_Se_Se	146	176	0	4	4	4	4	3	3	4	0	0	0	---
JSOES_May2024	90839-149	OtsPBT22-SpPFF-0093	OtsPBT22-SpPFF-0085	Parkdale	2022	0.000000	0.000000	21.145949	0.999088	0.999088	C_Se_Se	34	32	0	1	1	1	1	1	0	0	0	0	0	---
JSOES_May2024	90839-151	OtsMCCA22S_0896	OtsMCCA22S_0443	McCall	2022	0.000000	0.000000	18.787264	0.990441	0.990441	C_Se_Se	569	711	0	1	1	1	1	2	1	5	0	0	0	---
JSOES_May2024	90839-155	OtsPBT22-CarsonNFH-1708	OtsPBT22-CarsonNFH-1619	Carson	2022	0.000005	0.004000	18.883893	0.991314	0.991314	C_Se_Se	742	861	0	15	15	15	15	2	0	0	0	0	0	---
JSOES_May2024	90839-156	OtsRAPH22S_2698	OtsRAPH22S_0717	Rapid_River	2022	0.000000	0.000000	19.292012	0.994208	0.994208	C_Se_Se	199	248	0	9	9	9	9	1	1	5	0	0	0	---
JSOES_May2024	90839-157	OtsPBT22-Entiat-0301	OtsPBT22-Entiat-0101	Entiat	2022	0.010367	0.134000	14.367821	0.555083	0.555083	C_Se_Se	1554	2148	2	248	248	248	248	2	1	0	0	1	1	Ots_105407-117
JSOES_May2024	90839-158	OtsDWOR22S_1516	OtsDWOR22S_0692	Dworshak	2022	0.232835	0.734000	7.084779	0.000856	0.464869	C_U_U	888	1087	0	11	11	11	11	1	8	0	0	0	4	Ots_110064-383,Ots_ARNT,Ots_mapKpr-151,Ots_Prl2
JSOES_May2024	90839-159	OtsPBT22-CarsonNFH-0374	OtsPBT22-CarsonNFH-0275	Carson	2022	0.000003	0.002000	18.425492	0.986332	0.986332	C_Se_Se	103	124	0	1	1	1	1	1	0	0	0	0	0	---
JSOES_May2024	90839-169	OtsCLWH22S_1736	OtsCLWH22S_0220	Clearwater	2022	0.000635	0.002000	20.997997	0.998943	0.998943	C_Se_Se	17	21	0	1	1	1	1	1	2	0	0	0	0	---
JSOES_May2024	90839-172	OtsPBT22-LNFH-0571	OtsPBT22-LNFH-0347	Leavenworth	2022	0.834975	0.991000	2.653056	0.000010	0.780718	C_U_U	211	213	0	5	5	5	5	2	3	0	2	1	4	Ots_118205-61,Ots_GTH2B-550,Ots_OTALDBINT1-SNP1,Ots_u07-18.378
JSOES_May2024	90839-174	OtsLOOK22S_0083	OtsLOOK22S_0382	Lookingglass	2022	0.000000	0.000000	21.014229	0.998960	0.998960	C_Se_Se	30	18	0	1	1	1	1	1	0	1	0	0	0	---
JSOES_May2024	90839-175	OtsDWOR22S_1231	OtsDWOR22S_0301	Dworshak	2022	0.000000	0.000000	21.382810	0.999280	0.999280	C_Se_Se	165	173	0	1	1	1	1	1	3	0	0	0	0	---
JSOES_May2024	90839-176	OtsPBT22-LNFH-0857	OtsPBT22-LNFH-0210	Leavenworth	2022	0.743434	1.000000	6.700869	0.000584	0.415939	C_U_Si	754	914	0	16	16	16	16	2	0	0	1	1	4	Ots_101704-143,Ots_103122-180,Ots_GPH-318,Ots_TLR3
JSOES_May2024	90839-177	OtsPBT22-SpPFF-0167	OtsPBT22-SpPFF-0159	Parkdale	2022	0.000000	0.001000	20.624295	0.998465	0.998465	C_Se_Se	200	197	0	2	2	2	2	2	0	0	0	0	0	---
JSOES_May2024	90839-178	OtsRAPH22S_2139	OtsRAPH22S_0137	Rapid_River	2022	0.000000	0.000000	19.493708	0.995261	0.995261	C_Se_Se	1124	1352	0	6	6	6	6	1	0	3	0	0	0	---
JSOES_May2024	90839-179	OtsRAPH22S_2435	OtsRAPH22S_0443	Rapid_River	2022	0.000000	0.000000	19.963820	0.997033	0.997033	C_Se_Se	520	576	0	1	1	1	1	2	0	4	0	0	0	---
JSOES_May2024	90839-180	OtsPBT22-CarsonNFH-0718	OtsPBT22-CarsonNFH-0618	Carson	2022	0.000002	0.001000	18.437975	0.986499	0.986499	C_Se_Se	399	508	0	3	3	3	3	0	1	0	0	0	0	---
JSOES_May2024	90839-181	OtsPBT22-CarsonNFH-0306	OtsPBT22-CarsonNFH-0206	Carson	2022	0.000000	0.000000	21.741584	0.999497	0.999497	C_Se_Se	32	30	0	1	1	1	1	0	0	0	0	0	0	---
JSOES_May2024	90839-183	OtsDWOR22S_1246	OtsDWOR22S_0315	Dworshak	2022	0.000000	0.000000	20.582572	0.998400	0.998400	C_Se_Se	292	306	0	2	2	2	2	1	3	2	0	0	0	---
JSOES_May2024	90839-184	OtsDWOR22S_1186	OtsDWOR22S_0242	Dworshak	2022	0.000000	0.000000	19.788312	0.996466	0.996466	C_Se_Se	448	497	0	8	8	8	8	2	0	1	0	0	0	---
JSOES_May2024	90839-185	OtsPBT22-LNFH-0807	OtsPBT22-LNFH-0298	Leavenworth	2022	0.000000	0.000000	19.246430	0.993939	0.993939	C_Se_Se	282	307	0	3	3	3	3	1	0	0	0	1	1	Ots_GDH-81x
JSOES_May2024	90839-187	OtsPBT22-CJSp-0439	OtsPBT22-CJSp-0254	Chief_Joseph_sp	2022	0.000000	0.000000	19.312014	0.994322	0.994322	C_Se_Se	1228	1512	1	4	4	4	4	2	7	0	0	0	0	---
JSOES_May2024	90839-189	OtsPBT22-LWSSp-0702	OtsPBT22-LWSSp-0604	Little_White_Salmon_sp	2022	0.000000	0.002000	17.989225	0.979013	0.979013	C_Se_Se	601	628	0	5	5	5	5	2	2	0	0	0	0	---
JSOES_May2024	90839-190	OtsRAPH22S_2707	OtsRAPH22S_0726	Rapid_River	2022	0.000000	0.000000	19.875967	0.996761	0.996761	C_Se_Se	2169	2558	0	23	23	23	23	1	1	3	0	0	0	---
JSOES_May2024	90839-191	OtsCLWH22S_1774	OtsCLWH22S_0256	Clearwater	2022	0.000000	0.000000	20.538551	0.998328	0.998328	C_Se_Se	303	347	0	1	1	1	1	2	3	0	0	0	0	---
JSOES_May2024	90839-192	OtsPBT22-LWSSp-0057	OtsPBT22-LWSSp-0161	Little_White_Salmon_sp	2022	0.000000	0.001000	19.174113	0.993488	0.993488	C_Se_Se	175	181	0	1	1	1	1	2	0	0	0	0	0	---
JSOES_May2024	90839-193	OtsPBT22-LWSSp-0707	OtsPBT22-LWSSp-0609	Little_White_Salmon_sp	2022	0.000000	0.002000	16.962795	0.943545	0.943545	C_Se_Se	534	635	0	2	2	2	2	3	3	2	0	0	0	---
JSOES_May2024	90839-195	OtsMCCA22S_0641	OtsMCCA22S_0157	McCall	2022	0.000005	0.007000	16.224396	0.888727	0.888727	C_Se_Se	829	952	0	2	2	2	2	1	0	1	0	1	1	Ots_u6-75
JSOES_May2024	90839-196	OtsLOOK22S_0560	OtsLOOK22S_0761	Lookingglass	2022	0.000001	0.001000	19.921604	0.996905	0.996905	C_Se_Se	271	342	1	1	1	1	1	0	0	0	0	0	0	---
JSOES_May2024	90839-197	OtsMCCA22S_0650	OtsMCCA22S_0172	McCall	2022	0.000000	0.000000	20.630514	0.998475	0.998475	C_Se_Se	136	129	0	2	2	2	2	1	0	1	0	0	0	---
JSOES_May2024	90839-198	OtsLOOK22S_0803	OtsLOOK22S_0903	Lookingglass	2022	0.000000	0.000000	21.199295	0.999136	0.999136	C_Se_Se	120	137	0	1	1	1	1	0	0	0	0	0	0	---
JSOES_May2024	90839-200	---	---	---	---	---	---	---	---	---	---	66	67	0	0	0	0	0	1	---	---	---	---	---	---
JSOES_May2024	90839-201	OtsPBT22-BonnTule-0868	OtsPBT22-BonnTule-0065	Bonneville	2022	0.000000	0.000000	18.901891	0.991467	0.991467	C_Se_Se	1647	1659	0	135	135	135	135	1	8	0	0	0	0	---
JSOES_May2024	90839-202	---	---	---	---	---	---	---	---	---	---	9	14	0	0	0	0	0	0	---	---	---	---	---	---
JSOES_May2024	90839-203	OtsPBT22-LWSSp-0097	OtsPBT22-LWSSp-0228	Little_White_Salmon_sp	2022	0.000000	0.001000	18.047399	0.980175	0.980175	C_Se_Se	545	582	0	7	7	7	7	0	0	0	0	0	0	---
JSOES_May2024	90839-204	OtsMCCA22S_0819	OtsMCCA22S_0365	McCall	2022	0.000000	0.000000	20.269069	0.997812	0.997812	C_Se_Se	21	29	0	1	1	1	1	0	1	1	0	0	0	---
JSOES_May2024	90839-207	OtsMCCA22S_0823	OtsMCCA22S_0370	McCall	2022	0.000000	0.000000	21.291282	0.999212	0.999212	C_Se_Se	561	685	0	1	1	1	1	1	1	0	0	0	0	---
JSOES_May2024	90839-209	OtsRAPH22S_2938	OtsRAPH22S_0961	Rapid_River	2022	0.000000	0.000000	19.774316	0.996416	0.996416	C_Se_Se	250	262	0	2	2	2	2	2	0	5	0	0	0	---
JSOES_May2024	90839-210	OtsPBT22-CarsonNFH-0115	OtsPBT22-CarsonNFH-0014	Carson	2022	0.000000	0.000000	20.263758	0.997800	0.997800	C_Se_Se	213	214	0	2	2	2	2	1	0	0	0	0	0	---
JSOES_May2024	90839-214	OtsPBT22-CarsonNFH-0169	OtsPBT22-CarsonNFH-0071	Carson	2022	0.000000	0.000000	20.541651	0.998333	0.998333	C_Se_Se	108	97	0	2	2	2	2	2	0	0	0	0	0	---
JSOES_May2024	90839-215	OtsPBT22-CarsonNFH-0795	OtsPBT22-CarsonNFH-0802	Carson	2022	0.000000	0.000000	20.543317	0.998336	0.998336	C_Se_Se	917	1106	0	1	1	1	1	0	0	0	0	0	0	---
JSOES_May2024	90839-217	OtsCLWH22S_2409	OtsCLWH22S_0911	Clearwater	2022	0.001794	0.008000	17.944547	0.978075	0.978075	C_Se_Se	38	42	0	1	1	1	1	0	2	0	0	0	0	---
JSOES_May2024	90839-218	OtsPBT22-CJHSINT-SuFa-0726	OtsPBT22-CJHSINT-SuFa-0712	Chief_Joseph_su/fa	2022	0.000000	0.000000	19.313080	0.994328	0.994328	C_Se_Se	75	91	0	1	1	1	1	0	1	0	1	0	1	Ots_NOD1
JSOES_May2024	90839-219	OtsAC22NSNT_0661	OtsAC22NSNT_0674	Minto	2022	0.000000	0.000000	20.519607	0.998296	0.998296	C_Se_Se	17	14	0	4	4	4	4	1	0	0	0	0	0	---
JSOES_May2024	90839-220	OtsWellsSuPBT22-0552	OtsWellsSuPBT22-0078	Wells	2022	0.000110	0.018000	16.027044	0.867663	0.867663	C_Se_Se	724	941	1	165	165	165	165	0	2	1	0	0	0	---
JSOES_May2024	90839-221	---	---	---	---	---	---	---	---	---	---	157	171	0	0	0	0	0	1	---	---	---	---	---	---
JSOES_May2024	90839-222	OtsPBT22-LWSSp-0318	OtsPBT22-LWSSp-0261	Little_White_Salmon_sp	2022	0.000000	0.001000	20.765353	0.998667	0.998667	C_Se_Se	992	1203	0	2	2	2	2	2	0	0	0	0	0	---
JSOES_May2024	90839-223	OtsPBT22-LWSSp-0478	OtsPBT22-LWSSp-0578	Little_White_Salmon_sp	2022	0.000000	0.000000	18.438490	0.986506	0.986506	C_Se_Se	284	291	0	5	5	5	5	0	0	1	0	0	0	---
JSOES_May2024	90839-224	OtsKOOS22S_0536	OtsKOOS22S_0043	Dworshak	2022	0.000000	0.000000	20.242322	0.997753	0.997753	C_Se_Se	633	757	0	1	1	1	1	0	0	0	0	0	0	---
JSOES_May2024	90839-225	OtsDWOR22S_1463	OtsDWOR22S_0603	Dworshak	2022	0.287799	0.998000	0.695346	0.000001	0.901059	C_U_U	309	376	0	6	6	6	6	1	0	0	1	1	4	Ots_100884-287,Ots_E2-275,Ots_FGF6B_1,Ots_OTDESMIN19-SNP1
JSOES_May2024	90839-226	OtsKHSpchk22-0167	OtsKHSpchk22-0149	Klickitat	2022	0.000001	0.002000	19.139385	0.993259	0.993259	C_Se_Se	115	119	0	2	2	2	2	1	0	0	0	0	0	---
JSOES_May2024	90839-227	OtsPBT22-CarsonNFH-0368	OtsPBT22-CarsonNFH-0269	Carson	2022	0.000000	0.000000	20.159734	0.997560	0.997560	C_Se_Se	296	353	0	13	13	13	13	0	0	0	0	0	0	---
JSOES_May2024	90839-228	OtsAC22NSNT_0011	OtsAC22NSNT_0333	Minto	2022	0.000000	0.000000	19.683386	0.996076	0.996076	C_Se_Se	362	308	0	58	58	58	58	0	0	0	0	0	0	---
JSOES_May2024	90839-230	OtsRAPH22S_2751	OtsRAPH22S_0770	Rapid_River	2022	0.000146	0.001000	21.262779	0.999189	0.999189	C_Se_Se	44	38	0	2	2	2	2	1	0	4	0	0	0	---
JSOES_May2024	90839-231	OtsRAPH22S_2035	OtsRAPH22S_0038	Rapid_River	2022	0.000140	0.001000	19.677024	0.996051	0.996051	C_Se_Se	1443	1648	1	38	38	38	38	1	0	3	0	0	0	---
JSOES_May2024	90839-233	OtsPBT22-RBH-0410	OtsPBT22-RBH-0409	Round_Butte	2022	0.000000	0.000000	22.512198	0.999767	0.999767	C_Se_Se	12	19	0	1	1	1	1	0	0	0	0	0	0	---
JSOES_May2024	90839-234	OtsPAHH22S_0922	OtsPAHH22S_0422	Pahsimeroi	2022	0.000046	0.012000	17.917843	0.977495	0.977495	C_Se_Se	2170	2643	0	21	21	21	21	1	2	1	0	0	0	---
JSOES_May2024	90839-236	OtsAC22NSNT_1532	OtsAC22NSNT_1017	Minto	2022	0.061577	0.064000	8.934216	0.005419	0.787908	C_U_U	160	132	0	1	1	1	1	0	0	0	0	1	2	Ots_101704-143,Ots_u4-92
JSOES_May2024	90839-237	---	---	---	---	---	---	---	---	---	---	471	548	0	0	0	0	0	0	---	---	---	---	---	---
JSOES_May2024	90839-238	OtsWellsSuPBT22-0578	OtsWellsSuPBT22-0066	Wells	2022	0.000009	0.001000	18.291551	0.984403	0.984403	C_Se_Se	1257	1306	1	114	114	114	114	0	0	2	0	0	0	---
JSOES_May2024	90839-239	OtsAC22NSNT_1517	OtsAC22NSNT_0214	Minto	2022	0.554725	0.887000	5.688492	0.000212	0.635762	C_U_U	430	343	0	31	31	31	31	0	0	0	0	1	4	Ots_105105-613,Ots_GTH2B-550,Ots_RAG3,Ots_u07-07.161
JSOES_May2024	90839-240	OtsRAPH22S_2866	OtsRAPH22S_0888	Rapid_River	2022	0.000000	0.000000	19.652678	0.995954	0.995954	C_Se_Se	166	180	0	1	1	1	1	2	0	3	0	0	0	---
JSOES_May2024	90839-241	OtsPAHH22S_0648	OtsPAHH22S_0148	Pahsimeroi	2022	0.000061	0.019000	17.432032	0.963926	0.963926	C_Se_Se	1056	1165	0	55	55	55	55	2	0	1	0	0	0	---
JSOES_May2024	90839-242	OtsAC22MCKE_0532	OtsAC22MCKE_0521	McKenzie	2022	0.437224	0.726000	1.767205	0.000004	0.561630	C_U_U	168	104	0	1	1	1	1	2	3	0	0	2	4	Ots_Est740,Ots_hsc71-3'-488,Ots_MHC2,Ots_u07-17.135
JSOES_May2024	90839-243	OtsRAPH22S_2632	OtsRAPH22S_0647	Rapid_River	2022	0.000000	0.000000	20.813802	0.998730	0.998730	C_Se_Se	165	187	0	1	1	1	1	1	0	5	0	0	0	---
JSOES_May2024	90839-244	OtsPBT22-PRHFa-3730	OtsPBT22-PRHFa-3569	Priest_Rapids	2022	0.743087	0.998000	2.819882	0.000012	0.932951	C_U_U	329	349	1	7	7	7	7	2	0	1	0	1	4	Ots_100884-287,Ots_104415-88,Ots_pop5-96,Ots_SWS1op-182
JSOES_May2024	90839-245	OtsYR22-7922	OtsYR22-8043	Cle_Elum	2022	0.030000	0.030000	10.262154	0.020145	0.337154	C_U_Se	218	235	0	1	1	1	1	1	3	0	0	0	3	Ots_110064-383,Ots_112301-43,Ots_IGF-I.1-76
JSOES_May2024	90839-246	OtsCLWH22S_1655	OtsCLWH22S_0141	Clearwater	2022	0.000000	0.000000	19.332081	0.994434	0.994434	C_Se_Se	515	616	0	2	2	2	2	1	3	0	0	0	0	---
JSOES_May2024	90839-247	OtsPBT22-LWSSp-0320	OtsPBT22-LWSSp-0266	Little_White_Salmon_sp	2022	0.000000	0.001000	19.555345	0.995543	0.995543	C_Se_Se	484	583	0	2	2	2	2	0	0	0	0	0	0	---
JSOES_May2024	90839-248	OtsPBT22-LNFH-0575	OtsPBT22-LNFH-0353	Leavenworth	2022	0.490369	0.388000	9.057943	0.006129	0.471066	C_Si_Se	604	685	0	12	12	12	12	2	0	1	1	0	3	Ots_105407-117,Ots_ARNT,Ots_u07-49.290
JSOES_May2024	90839-250	---	---	---	---	---	---	---	---	---	---	71	89	0	0	0	0	0	0	---	---	---	---	---	---
JSOES_May2024	90839-252	OtsMCCA22S_0701	OtsMCCA22S_0244	McCall	2022	0.000000	0.000000	20.391606	0.998064	0.998064	C_Se_Se	273	340	0	4	4	4	4	1	0	1	0	0	0	---
JSOES_May2024	90839-253	---	---	---	---	---	---	---	---	---	---	56	32	0	0	0	0	0	1	---	---	---	---	---	---
JSOES_May2024	90839-255	OtsPBT22HJ-WEN-0229	OtsPBT22HJ-WEN-0200	Eastbank_sp	2022	0.000275	0.004000	18.476169	0.986998	0.986998	C_Se_Se	236	350	0	15	15	15	15	2	0	0	0	1	1	Ots_105407-117
JSOES_May2024	90839-257	---	---	---	---	---	---	---	---	---	---	44	27	0	0	0	0	0	1	---	---	---	---	---	---
JSOES_May2024	90839-258	OtsPBT22LESp-0117	OtsPBT22LESp-0189	Speelyai	2022	0.817238	0.975000	-3.161592	0.000000	0.917826	C_U_U	85	88	0	1	1	1	1	3	0	1	2	2	4	Ots_128757-61R,Ots_FGF6B_1,Ots_GDH-81x,Ots_ntl-255
JSOES_May2024	90839-260	OtsLYON22S_1_0557	OtsLYON22S_1_5049	Lyons_Ferry_fa	2022	0.000024	0.001000	18.863072	0.991133	0.991133	C_Se_Se	856	853	0	22	22	22	22	2	2	0	0	1	1	Ots_u07-07.161
JSOES_May2024	90839-262	OtsAC22MCKE_0485	OtsAC22MCKE_0497	McKenzie	2022	0.442505	0.796000	7.208037	0.000969	0.870063	C_U_U	490	409	0	141	141	141	141	2	3	1	1	0	2	Ots_123921-111,Ots_TGFB
JSOES_May2024	90839-263	---	---	---	---	---	---	---	---	---	---	40	44	0	0	0	0	0	0	---	---	---	---	---	---
JSOES_May2024	90839-264	OtsPBT22-LWSSp-0318	OtsPBT22-LWSSp-0260	Little_White_Salmon_sp	2022	0.000000	0.000000	19.006523	0.992309	0.992309	C_Se_Se	269	280	0	2	2	2	2	0	0	0	0	1	1	Ots_OTALDBINT1-SNP1
JSOES_May2024	90839-265	---	---	---	---	---	---	---	---	---	---	26	18	0	0	0	0	0	1	---	---	---	---	---	---
JSOES_May2024	90839-266	OtsPBT22HL-CHEL-0294	OtsPBT22HL-CHEL-0258	Eastbank_sp	2022	0.003123	0.053000	15.874901	0.849196	0.849196	C_Se_Se	660	778	2	102	102	102	102	1	0	0	0	1	1	Ots_105407-117
JSOES_May2024	90839-267	OtsRAPH22S_2075	OtsRAPH22S_0077	Rapid_River	2022	0.000000	0.000000	20.042612	0.997257	0.997257	C_Se_Se	956	1107	0	6	6	6	6	1	1	4	0	0	0	---
JSOES_May2024	90839-268	---	---	---	---	---	---	---	---	---	---	49	58	0	0	0	0	0	0	---	---	---	---	---	---
JSOES_May2024	90839-269	OtsPBT22-SpCrTule-1859	OtsPBT22-SpCrTule-2054	Spring_Creek	2022	0.000000	0.000000	19.453061	0.995065	0.995065	C_Se_Se	1962	1957	0	467	467	467	467	1	0	0	0	0	0	---
JSOES_May2024	90839-270	OtsPBT22-SpCrTule-1733	OtsPBT22-SpCrTule-1429	Spring_Creek	2022	0.000000	0.000000	19.336048	0.994456	0.994456	C_Se_Se	652	673	0	211	211	211	211	3	1	0	0	0	0	---
JSOES_May2024	90839-271	OtsPBT22-BonnTule-0905	OtsPBT22-BonnTule-0105	Bonneville	2022	0.000000	0.000000	19.157939	0.993382	0.993382	C_Se_Se	1354	1365	0	1368	1368	1368	1368	2	0	0	0	0	0	---
JSOES_May2024	90839-272	---	---	---	---	---	---	---	---	---	---	68	53	0	0	0	0	0	2	---	---	---	---	---	---
JSOES_May2024	90839-273	---	---	---	---	---	---	---	---	---	---	58	44	0	0	0	0	0	1	---	---	---	---	---	---
JSOES_May2024	90839-274	OtsPBT22-SpCrTule-3511	OtsPBT22-SpCrTule-4125	Spring_Creek	2022	0.185978	0.247000	14.160511	0.503480	0.503480	C_Se_Se	304	280	0	140	140	140	140	1	0	1	0	1	1	Ots_105407-117
JSOES_May2024	90839-275	OtsDWOR22S_1081	OtsDWOR22S_0103	Dworshak	2022	0.000000	0.000000	21.562490	0.999399	0.999399	C_Se_Se	161	174	0	1	1	1	1	1	2	1	0	0	0	---
JSOES_May2024	90839-276	---	---	---	---	---	---	---	---	---	---	302	232	0	0	0	0	0	0	---	---	---	---	---	---
JSOES_May2024	90839-278	---	---	---	---	---	---	---	---	---	---	158	147	0	0	0	0	0	0	---	---	---	---	---	---
JSOES_May2024	90839-279	---	---	---	---	---	---	---	---	---	---	0	0	0	0	0	0	0	0	---	---	---	---	---	---
JSOES_May2024	90839-280	---	---	---	---	---	---	---	---	---	---	160	146	0	0	0	0	0	0	---	---	---	---	---	---
JSOES_May2024	90839-281	OtsNPFH22S_0056	OtsNPFH22S_0021	Nez_Perce_Tribal_sp	2022	0.000000	0.000000	20.041830	0.997255	0.997255	C_Se_Se	324	380	0	2	2	2	2	1	0	1	0	0	0	---
JSOES_May2024	90839-282	OtsAC22SSNT_0213	OtsAC22SSNT_0445	S_Santiam	2022	0.001911	0.002000	16.641172	0.923761	0.923761	C_Se_Se	1001	828	0	101	101	101	101	0	4	1	0	0	0	---
JSOES_May2024	90839-283	OtsPBT22HL-CHEL-0288	OtsPBT22HL-CHEL-0252	Eastbank_sp	2022	0.000103	0.001000	19.981818	0.997086	0.997086	C_Se_Se	149	197	0	2	2	2	2	1	2	0	0	0	0	---
JSOES_May2024	90839-284	OtsWellsSuPBT22-0537	OtsWellsSuPBT22-0025	Wells	2022	0.000000	0.000000	20.104515	0.997421	0.997421	C_Se_Se	166	158	0	4	4	4	4	1	0	0	0	0	0	---
JSOES_May2024	90839-285	OtsAC22NSNT_0537	OtsAC22NSNT_1142	Minto	2022	0.041693	0.040000	9.884849	0.013902	0.712270	C_U_U	161	141	0	1	1	1	1	0	0	0	2	0	3	Ots_102801-308,Ots_GDH-81x,Ots_OTSTF1-SNP1
JSOES_May2024	90839-286	OtsPBT22-CarsonNFH-1724	OtsPBT22-CarsonNFH-1655	Carson	2022	0.000000	0.000000	21.772052	0.999512	0.999512	C_Se_Se	25	40	0	1	1	1	1	1	0	1	0	0	0	---
JSOES_May2024	90839-287	OtsAC22NSNT_0151	OtsAC22NSNT_0264	Minto	2022	0.008339	0.007000	17.839841	0.975714	0.975714	C_Se_Se	417	407	0	2	2	2	2	1	0	0	0	0	0	---
JSOES_May2024	90839-288	OtsAC22SSNT_0521	OtsAC22SSNT_0585	S_Santiam	2022	0.000000	0.000000	16.928218	0.941675	0.941675	C_Se_Se	280	200	0	2	2	2	2	1	3	0	0	0	0	---
JSOES_May2024	90839-289	OtsPBT22-LWSSp-0073	OtsPBT22-LWSSp-0187	Little_White_Salmon_sp	2022	0.000000	0.000000	21.258888	0.999186	0.999186	C_Se_Se	153	163	0	1	1	1	1	3	2	1	1	0	1	Ots_101704-143
JSOES_May2024	90839-290	---	---	---	---	---	---	---	---	---	---	13	6	0	0	0	0	0	1	---	---	---	---	---	---
JSOES_May2024	90839-291	OtsAC22NSNT_0622	OtsAC22NSNT_1187	Minto	2022	0.544630	0.762000	4.513467	0.000066	0.753645	C_U_U	192	137	0	4	4	4	4	1	0	0	2	0	4	Ots_124774-477,Ots_ETIF1A,Ots_MHC2,Ots_S7-1
JSOES_May2024	90839-292	---	---	---	---	---	---	---	---	---	---	340	305	0	0	0	0	0	1	---	---	---	---	---	---
JSOES_May2024	90839-293	OtsPBT22HL-CHEL-0223	OtsPBT22HL-CHEL-0143	Eastbank_sp	2022	0.000000	0.000000	22.051168	0.999631	0.999631	C_Se_Se	1013	1299	1	59	59	59	59	2	0	0	0	0	0	---
JSOES_May2024	90839-294	OtsAC22SSNT_0002	OtsAC22SSNT_0180	S_Santiam	2022	0.001737	0.002000	17.733747	0.973068	0.973068	C_Se_Se	75	57	0	1	1	1	1	1	0	0	1	0	1	Ots_112820-284
JSOES_May2024	90839-295	---	---	---	---	---	---	---	---	---	---	38	26	0	0	0	0	0	1	---	---	---	---	---	---
JSOES_May2024	90839-296	---	---	---	---	---	---	---	---	---	---	1844	1919	1	0	0	0	0	2	---	---	---	---	---	---
JSOES_May2024	90839-298	OtsLYON22S_1_0561	OtsLYON22S_1_5042	Lyons_Ferry_fa	2022	0.000071	0.006000	17.882977	0.976715	0.976715	C_Se_Se	797	1046	0	2	2	2	2	2	1	1	0	0	0	---
JSOES_May2024	90839-299	OtsAC22NSNT_1480	OtsAC22NSNT_1222	Minto	2022	0.504731	0.686000	4.639971	0.000074	0.897233	C_U_U	400	340	0	4	4	4	4	1	0	0	1	2	4	Ots_113242-216,Ots_117432-409,Ots_123921-111,Ots_OTDESMIN19-SNP1
JSOES_May2024	90839-300	---	---	---	---	---	---	---	---	---	---	123	82	0	0	0	0	0	1	---	---	---	---	---	---
JSOES_May2024	90839-301	OtsPBT22-RBH-0018	OtsPBT22-RBH-0017	Round_Butte	2022	0.000000	0.000000	19.309901	0.994310	0.994310	C_Se_Se	179	185	0	1	1	1	1	2	0	0	0	0	0	---
JSOES_May2024	90839-302	---	---	---	---	---	---	---	---	---	---	6	5	0	0	0	0	0	1	---	---	---	---	---	---
JSOES_May2024	90839-304	OtsPBT22LGSp-0021	OtsPBT22LGSp-0004	Kalama_Falls_sp	2022	0.000000	0.000000	19.604071	0.995754	0.995754	C_Se_Se	354	339	0	1	1	1	1	4	0	0	0	0	0	---
JSOES_May2024	90839-305	OtsPBT22-LWSFa-6942	OtsPBT22-LWSFa-6801	Little_White_Salmon_fa	2022	0.034155	0.081000	15.354860	0.769993	0.769993	C_Se_Se	1448	1866	1	1327	1327	1327	1327	2	1	0	0	0	0	---
JSOES_May2024	90839-306	OtsPBT22-SpCrTule-6924	OtsPBT22-SpCrTule-7125	Spring_Creek	2022	0.000000	0.000000	19.624971	0.995841	0.995841	C_Se_Se	731	741	0	14	14	14	14	2	0	0	0	0	0	---
JSOES_May2024	90839-307	---	---	---	---	---	---	---	---	---	---	3599	4378	4	0	0	0	0	2	---	---	---	---	---	---
JSOES_May2024	90839-308	OtsPBT22-BonnTule-1301	OtsPBT22-BonnTule-0703	Bonneville	2022	0.000000	0.000000	18.530781	0.987681	0.987681	C_Se_Se	1137	1082	0	293	293	293	293	2	0	0	0	0	0	---
