OffspCollection	Kid	Pa	Ma	PopName	SpawnYear	FDR	Pvalue	LOD	P.Pr.C_Se_Se	P.Pr.Max	MaxP.Pr.Relat	TotPaNonExc	TotMaNonExc	TotUnkNonExc	TotPairsMendCompat	TotPairsMendAndLogL	TotParsMendLoglAndRank	TotPairsNonExc	KidMiss	PaMiss	MaMiss	MI.Kid.Pa	MI.Kid.Ma	MI.Trio	MendIncLoci
JSOES_May2024	90839-012	OtsPBT22HHSp-0031	OtsPBT22HHSp-0025	Eastbank_sp	2022	0.000000	0.000000	26.693383	0.999996	0.999996	C_Se_Se	866	958	0	1	1	1	1	1	2	2	0	0	0	---
JSOES_May2024	90839-013	OtsDWOR22S_1104	OtsDWOR22S_0131	Dworshak	2022	0.000373	0.001000	19.018907	0.992403	0.992403	C_Se_Se	264	279	0	17	17	17	17	1	0	0	0	0	0	---
JSOES_May2024	90839-014	OtsPBT22-CarsonNFH-1313	OtsPBT22-CarsonNFH-1211	Carson	2022	0.000000	0.000000	19.666682	0.996010	0.996010	C_Se_Se	28	46	0	1	1	1	1	1	0	0	0	0	0	---
JSOES_May2024	90839-015	OtsAC22NSNT_1256	OtsAC22NSNT_1355	Minto	2022	0.427543	0.564000	2.800594	0.000012	0.677118	C_U_U	170	108	0	2	2	2	2	1	8	0	1	2	4	Ots_105385-421,Ots_94903-99R,Ots_GDH-81x,Ots_u1002-75
JSOES_May2024	90839-016	OtsCLWH22S_2124	OtsCLWH22S_0602	Clearwater	2022	0.000000	0.000000	20.977324	0.998921	0.998921	C_Se_Se	83	95	0	1	1	1	1	2	3	1	0	0	0	---
JSOES_May2024	90839-017	OtsMCCA22S_0665	OtsMCCA22S_0194	McCall	2022	0.000000	0.000000	20.604450	0.998434	0.998434	C_Se_Se	94	98	0	1	1	1	1	1	2	0	0	0	0	---
JSOES_May2024	90839-018	OtsPBT22-LNFH-0563	OtsPBT22-LNFH-0100	Leavenworth	2022	0.009027	0.005000	18.316626	0.984783	0.984783	C_Se_Se	290	333	0	21	21	21	21	1	7	0	0	0	0	---
JSOES_May2024	90839-019	---	---	---	---	---	---	---	---	---	---	260	184	0	0	0	0	0	1	---	---	---	---	---	---
JSOES_May2024	90839-020	OtsAC22SSNT_0252	OtsAC22SSNT_0434	S_Santiam	2022	0.665286	0.975000	1.288376	0.000003	0.727152	C_U_U	235	166	0	9	9	9	9	1	5	6	1	2	3	Ots_112419-131,Ots_123921-111,Ots_Est740
JSOES_May2024	90839-022	OtsPBT22-LNFH-0658	OtsPBT22-LNFH-0204	Leavenworth	2022	0.007899	0.005000	16.991793	0.945070	0.945070	C_Se_Se	1334	1420	1	90	90	90	90	1	1	0	0	0	0	---
JSOES_May2024	90839-023	OtsCLWH22S_2354	OtsCLWH22S_0831	Clearwater	2022	0.000000	0.000000	21.828254	0.999539	0.999539	C_Se_Se	184	230	0	1	1	1	1	2	3	0	0	0	0	---
JSOES_May2024	90839-024	OtsPBT22-LWSSp-0037	OtsPBT22-LWSSp-0135	Little_White_Salmon_sp	2022	0.000000	0.001000	19.805857	0.996527	0.996527	C_Se_Se	301	343	0	1	1	1	1	3	0	0	0	0	0	---
