PopName	RankInFDR	Kid	Pa	Ma	FDR	FDC.est.to.pop	Pvalue
Leavenworth	15	90839-172	OtsPBT22-LNFH-0571	OtsPBT22-LNFH-0347	0.834975	12.52	0.991000
Leavenworth	16	90839-089	OtsPBT22-LNFH-0933	OtsPBT22-LNFH-0442	0.789898	12.64	1.000000
Leavenworth	17	90839-176	OtsPBT22-LNFH-0857	OtsPBT22-LNFH-0210	0.743434	12.64	1.000000
Leavenworth	18	90839-316	OtsPBT22-LNFH-0933	OtsPBT22-LNFH-0277	0.702132	12.64	1.000000
Little_White_Salmon_fa	1	90839-521	OtsPBT22-LWSFa-1342	OtsPBT22-LWSFa-1543	0.000000	0.00	0.000000
Little_White_Salmon_fa	2	90839-524	OtsPBT22-LWSFa-8429	OtsPBT22-LWSFa-8250	0.000000	0.00	0.000000
Little_White_Salmon_fa	3	90839-378	OtsPBT22-LWSFa-4617	OtsPBT22-LWSFa-4822	0.000984	0.00	0.001000
Little_White_Salmon_fa	4	90839-471	OtsPBT22-LWSFa-4623	OtsPBT22-LWSFa-4815	0.000738	0.00	0.001000
Little_White_Salmon_fa	5	90839-611	OtsPBT22-LWSFa-1843	OtsPBT22-LWSFa-1739	0.000590	0.00	0.001000
Little_White_Salmon_fa	6	90839-625	OtsPBT22-LWSFa-4673	OtsPBT22-LWSFa-4816	0.000492	0.00	0.001000
Little_White_Salmon_fa	7	90839-305	OtsPBT22-LWSFa-6942	OtsPBT22-LWSFa-6801	0.034155	0.24	0.081000
Little_White_Salmon_fa	8	90839-434	OtsPBT22-LWSFa-8494	OtsPBT22-LWSFa-8798	0.320992	2.57	0.870000
Little_White_Salmon_sp	1	90839-001	OtsPBT22-LWSSp-0747	OtsPBT22-LWSSp-0657	0.000000	0.00	0.000000
Little_White_Salmon_sp	2	90839-094	OtsPBT22-LWSSp-0083	OtsPBT22-LWSSp-0206	0.000000	0.00	0.000000
Little_White_Salmon_sp	3	90839-123	OtsPBT22-LWSSp-1043	OtsPBT22-LWSSp-1141	0.000000	0.00	0.000000
Little_White_Salmon_sp	4	90839-126	OtsPBT22-LWSSp-0741	OtsPBT22-LWSSp-0651	0.000000	0.00	0.000000
Little_White_Salmon_sp	5	90839-144	OtsPBT22-LWSSp-0052	OtsPBT22-LWSSp-0152	0.000000	0.00	0.000000
Little_White_Salmon_sp	6	90839-223	OtsPBT22-LWSSp-0478	OtsPBT22-LWSSp-0578	0.000000	0.00	0.000000
Little_White_Salmon_sp	7	90839-264	OtsPBT22-LWSSp-0318	OtsPBT22-LWSSp-0260	0.000000	0.00	0.000000
Little_White_Salmon_sp	8	90839-289	OtsPBT22-LWSSp-0073	OtsPBT22-LWSSp-0187	0.000000	0.00	0.000000
Little_White_Salmon_sp	9	90839-337	OtsPBT22-LWSSp-0750	OtsPBT22-LWSSp-0660	0.000000	0.00	0.000000
Little_White_Salmon_sp	10	90839-393	OtsPBT22-LWSSp-0425	OtsPBT22-LWSSp-0525	0.000000	0.00	0.000000
Little_White_Salmon_sp	11	90839-424	OtsPBT22-LWSSp-0054	OtsPBT22-LWSSp-0156	0.000000	0.00	0.000000
Little_White_Salmon_sp	12	90839-437	OtsPBT22-LWSSp-1344	OtsPBT22-LWSSp-1241	0.000000	0.00	0.000000
Little_White_Salmon_sp	13	90839-440	OtsPBT22-LWSSp-0769	OtsPBT22-LWSSp-0685	0.000000	0.00	0.000000
Little_White_Salmon_sp	14	90839-445	OtsPBT22-LWSSp-1099	OtsPBT22-LWSSp-1197	0.000000	0.00	0.000000
Little_White_Salmon_sp	15	90839-446	OtsPBT22-LWSSp-0440	OtsPBT22-LWSSp-0540	0.000000	0.00	0.000000
Little_White_Salmon_sp	16	90839-457	OtsPBT22-LWSSp-0303	OtsPBT22-LWSSp-0237	0.000000	0.00	0.000000
Little_White_Salmon_sp	17	90839-461	OtsPBT22-LWSSp-0083	OtsPBT22-LWSSp-0206	0.000000	0.00	0.000000
Little_White_Salmon_sp	18	90839-464	OtsPBT22-LWSSp-0408	OtsPBT22-LWSSp-0509	0.000000	0.00	0.000000
Little_White_Salmon_sp	19	90839-467	OtsPBT22-LWSSp-1327	OtsPBT22-LWSSp-1225	0.000000	0.00	0.000000
Little_White_Salmon_sp	20	90839-470	OtsPBT22-LWSSp-0434	OtsPBT22-LWSSp-0534	0.000000	0.00	0.000000
Little_White_Salmon_sp	21	90839-473	OtsPBT22-LWSSp-0083	OtsPBT22-LWSSp-0206	0.000000	0.00	0.000000
Little_White_Salmon_sp	22	90839-595	OtsPBT22-LWSSp-0089	OtsPBT22-LWSSp-0214	0.000000	0.00	0.000000
Little_White_Salmon_sp	23	90839-596	OtsPBT22-LWSSp-0030	OtsPBT22-LWSSp-0128	0.000000	0.00	0.000000
Little_White_Salmon_sp	24	90839-599	OtsPBT22-LWSSp-0768	OtsPBT22-LWSSp-0682	0.000000	0.00	0.000000
Little_White_Salmon_sp	25	90839-609	OtsPBT22-LWSSp-0302	OtsPBT22-LWSSp-0236	0.000000	0.00	0.000000
Little_White_Salmon_sp	26	90839-024	OtsPBT22-LWSSp-0037	OtsPBT22-LWSSp-0135	0.000000	0.00	0.001000
Little_White_Salmon_sp	27	90839-192	OtsPBT22-LWSSp-0057	OtsPBT22-LWSSp-0161	0.000000	0.00	0.001000
Little_White_Salmon_sp	28	90839-203	OtsPBT22-LWSSp-0097	OtsPBT22-LWSSp-0228	0.000000	0.00	0.001000
Little_White_Salmon_sp	29	90839-222	OtsPBT22-LWSSp-0318	OtsPBT22-LWSSp-0261	0.000000	0.00	0.001000
Little_White_Salmon_sp	30	90839-247	OtsPBT22-LWSSp-0320	OtsPBT22-LWSSp-0266	0.000000	0.00	0.001000
Little_White_Salmon_sp	31	90839-320	OtsPBT22-LWSSp-0045	OtsPBT22-LWSSp-0143	0.000000	0.00	0.001000
Little_White_Salmon_sp	32	90839-386	OtsPBT22-LWSSp-0767	OtsPBT22-LWSSp-0681	0.000000	0.00	0.001000
Little_White_Salmon_sp	33	90839-450	OtsPBT22-LWSSp-1351	OtsPBT22-LWSSp-1248	0.000000	0.00	0.001000
Little_White_Salmon_sp	34	90839-603	OtsPBT22-LWSSp-0059	OtsPBT22-LWSSp-0166	0.000000	0.00	0.001000
Little_White_Salmon_sp	35	90839-078	OtsPBT22-LWSSp-0061	OtsPBT22-LWSSp-0170	0.000000	0.00	0.002000
Little_White_Salmon_sp	36	90839-189	OtsPBT22-LWSSp-0702	OtsPBT22-LWSSp-0604	0.000000	0.00	0.002000
Little_White_Salmon_sp	37	90839-193	OtsPBT22-LWSSp-0707	OtsPBT22-LWSSp-0609	0.000000	0.00	0.002000
Little_White_Salmon_sp	38	90839-468	OtsPBT22-LWSSp-0092	OtsPBT22-LWSSp-0220	0.000000	0.00	0.004000
Lookingglass	1	90839-002	OtsLOOK22S_0539	OtsLOOK22S_0738	0.000000	0.00	0.000000
Lookingglass	2	90839-086	OtsLOOK22S_0559	OtsLOOK22S_0758	0.000000	0.00	0.000000
Lookingglass	3	90839-174	OtsLOOK22S_0083	OtsLOOK22S_0382	0.000000	0.00	0.000000
Lookingglass	4	90839-198	OtsLOOK22S_0803	OtsLOOK22S_0903	0.000000	0.00	0.000000
Lookingglass	5	90839-128	OtsLOOK22S_0815	OtsLOOK22S_0915	0.000001	0.00	0.001000
Lookingglass	6	90839-196	OtsLOOK22S_0560	OtsLOOK22S_0761	0.000001	0.00	0.001000
Lookingglass	7	90839-409	OtsLOOK22S_0024	OtsLOOK22S_0324	0.000002	0.00	0.003000
Lookingglass	8	90839-057	OtsLOOK22S_0087	OtsLOOK22S_0387	0.000002	0.00	0.004000
Lyons_Ferry_fa	1	90839-523	OtsLYON22S_1_0256	OtsLYON22S_1_3255	0.000000	0.00	0.000000
Lyons_Ferry_fa	2	90839-260	OtsLYON22S_1_0557	OtsLYON22S_1_5049	0.000024	0.00	0.001000
Lyons_Ferry_fa	3	90839-573	OtsLYON22S_1_0550	OtsLYON22S_1_5030	0.000016	0.00	0.001000
Lyons_Ferry_fa	4	90839-298	OtsLYON22S_1_0561	OtsLYON22S_1_5042	0.000071	0.00	0.006000
Lyons_Ferry_fa	5	90839-387	OtsLYON22S_1_0575	OtsLYON22S_1_5083	0.000057	0.00	0.006000
Lyons_Ferry_fa	6	90839-630	OtsLYON22S_1_0561	OtsLYON22S_1_5041	0.000110	0.00	0.014000
Lyons_Ferry_fa	7	90839-568	OtsLYON22S_1_0473	OtsLYON22S_1_4293	0.000303	0.00	0.045000
McCall	1	90839-017	OtsMCCA22S_0665	OtsMCCA22S_0194	0.000000	0.00	0.000000
McCall	2	90839-039	OtsMCCA22S_0863	OtsMCCA22S_0410	0.000000	0.00	0.000000
McCall	3	90839-151	OtsMCCA22S_0896	OtsMCCA22S_0443	0.000000	0.00	0.000000
McCall	4	90839-197	OtsMCCA22S_0650	OtsMCCA22S_0172	0.000000	0.00	0.000000
McCall	5	90839-204	OtsMCCA22S_0819	OtsMCCA22S_0365	0.000000	0.00	0.000000
McCall	6	90839-207	OtsMCCA22S_0823	OtsMCCA22S_0370	0.000000	0.00	0.000000
McCall	7	90839-252	OtsMCCA22S_0701	OtsMCCA22S_0244	0.000000	0.00	0.000000
McCall	8	90839-100	OtsMCCA22S_0870	OtsMCCA22S_0417	0.000001	0.00	0.001000
McCall	9	90839-129	OtsMCCA22S_0848	OtsMCCA22S_0395	0.000002	0.00	0.002000
McCall	10	90839-195	OtsMCCA22S_0641	OtsMCCA22S_0157	0.000005	0.00	0.007000
McKenzie	1	90839-027	OtsAC22MCKE_0230	OtsAC22MCKE_0354	0.000000	0.00	0.000000
McKenzie	2	90839-321	OtsAC22MCKE_0241	OtsAC22MCKE_0345	0.000000	0.00	0.000000
McKenzie	3	90839-324	OtsAC22MCKE_0220	OtsAC22MCKE_0302	0.000000	0.00	0.000000
McKenzie	4	90839-358	OtsAC22MCKE_0004	OtsAC22MCKE_0095	0.000000	0.00	0.000000
McKenzie	5	90839-361	OtsAC22MCKE_0416	OtsAC22MCKE_0535	0.000000	0.00	0.000000
McKenzie	6	90839-419	OtsAC22MCKE_0261	OtsAC22MCKE_0358	0.000000	0.00	0.000000
