"ID","Not regional","Alsek","Chilkat_R","Copper_R","E_Vancouver_Is","Haida_Gwaii","Juan_de_Fuca","Kamchatka","King_Salmon_R","Low_Fraser_R","Low_Skeena_R","Low_Thompson_R","Mid_Fraser_R","Mid_Up_Yukon","N/Cent_BC_Cst","N_AK_Peninsula","N_Gulf_AK","N_Puget_Sound","N_Thompson_R","Nass_R","NSE_AK","S_BC_Cst","S_Puget_Sound","S_Thompson_R","Situk_R","SSE_AK","Stikine_R","Taku_R","Up_Fraser_R","Up_Skeena_R","W_AK_Cst","W_Vancouver_Is","WA_Cst"
"90839-419",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90839-420",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90839-421",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90839-422",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90839-423",0.9976,1.632e-05,2.4e-07,1.416e-05,0,0,0,7.2e-07,0,0,1.44e-06,0,2.4e-07,9.6e-07,2.4e-07,6e-06,1.344e-05,0,0,6.48e-06,5.76e-06,0,0,0,2.16e-06,0.00018936,0.00208512,6.96e-06,0,5.04e-06,4.512e-05,0,2.4e-07
"90839-424",0.9996,1.76e-06,9.6e-07,4.4e-06,0,0,0,0,0,0,2.4e-07,0,8e-08,0,1.2e-07,5.2e-07,6.4e-07,0,3.2e-07,4e-07,3.72e-06,4e-08,0,0,3.6e-07,3.288e-05,0.00034724,8e-07,2.8e-07,1.16e-06,4.04e-06,0,4e-08
"90839-425",0.9975,2.075e-05,0,1.1e-05,0,0,0,0,1.575e-05,0,3.5e-06,0,2.5e-07,0,2.5e-07,1.6e-05,1.775e-05,0,2.5e-07,2.75e-06,2.4e-05,0,0,0,2e-06,0.00020025,0.00215175,8.75e-06,0,9.5e-06,1.55e-05,0,0
"90839-426",0.9995,2e-06,3.5e-07,5.05e-06,0,0,0,0,0,0,4e-07,9.5e-07,5e-08,5e-08,2.5e-07,1.15e-06,5.3e-06,0,2e-07,0,5.25e-06,0,0,0,2.35e-06,3.685e-05,0.00043195,2.35e-06,0,6e-07,4.9e-06,0,0
"90839-427",0.9991,5.49e-06,0,2.61e-05,0,0,0,9.9e-07,0,0,0,0,0,2.7e-07,0,5.067e-05,8.577e-05,0,0,0,1.08e-06,0,0,0,4.5e-07,2.016e-05,0.00064161,9e-08,0,9e-08,6.723e-05,0,0
"90839-428",0.9997,2.7e-07,0,1.5e-07,0,0,0,1.8e-07,0,0,8.7e-07,8.7e-07,1.5e-07,0,5.1e-07,1.14e-06,2.07e-06,0,1.8e-07,2.1e-07,1.38e-06,3e-08,0,3e-08,3.9e-07,3.213e-05,0.00025455,9e-07,0,2.1e-06,1.38e-06,0,5.1e-07
"90839-429",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90839-430",0.9999,0,0,0,1e-08,0,5e-08,0,0,0,0,0,0,0,0,0,0,9.99e-06,0,0,0,0,8.988e-05,3e-08,0,0,0,0,0,0,0,0,4e-08
"90839-431",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90839-432",0.9872,3.456e-05,0,0.00014848,0,0,0,0,0,0,2.944e-05,0,1.28e-06,0,1.024e-05,2.56e-06,6.4e-05,0,6.4e-06,3.456e-05,1.92e-05,2.56e-06,0,0,5.12e-06,0.00100224,0.01113984,4.608e-05,0,4.352e-05,9.088e-05,1.28e-06,0.00011776
"90839-433",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90839-434",0.9484,0,0,0,5.16e-06,0,3.612e-05,0,0,0,0,0,0,0,0,0,0,0.00337464,0,0,0,0,0.04817376,0,0,0,0,0,0,0,0,0,1.032e-05
"90839-435",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90839-436",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90839-437",0.997,5.43e-05,9e-07,8.76e-05,0,0,0,3.3e-06,0,0,3e-06,1.8e-06,1.5e-06,3e-07,1.2e-06,3.6e-06,5.1e-06,0,9e-07,4.8e-06,5.4e-06,0,0,0,4.8e-06,0.0001977,0.002586,3.6e-06,0,8.1e-06,2.58e-05,0,3e-07
"90839-438",0.9995,5.5e-07,4.5e-07,3.15e-06,0,0,0,9.5e-07,0,0,1.1e-06,1.95e-06,1e-06,0,6.5e-07,1.5e-07,9.5e-07,0,2.2e-06,2e-07,7.05e-06,0,0,5e-08,4e-07,4.56e-05,0.0004302,1e-07,5.5e-07,1.75e-06,4.5e-07,0,5.5e-07
"90839-439",0.9997,3.3e-07,0,2.76e-06,0,0,0,6e-08,0,0,1.5e-07,3e-08,0,6e-08,6e-08,2.97e-06,2.85e-06,0,0,9.6e-07,9e-07,0,0,0,9e-08,2.16e-05,0.00025944,3e-08,0,3.3e-07,7.38e-06,0,0
"90839-440",0.9999,1.23e-06,0,1.99e-06,0,0,0,7e-08,0,0,0,1e-08,0,5e-08,0,7.6e-07,1.5e-06,0,0,0,4e-08,0,0,0,2.2e-07,4.56e-06,8.596e-05,4e-08,0,2e-08,3.54e-06,0,1e-08
"90839-441",0.9993,2.8e-06,2.1e-07,1.113e-05,0,0,0,1.4e-06,0,0,5.6e-07,0,7e-08,2.8e-07,0,4.13e-06,1.68e-06,0,0,3.5e-07,4.76e-06,0,0,0,6.3e-07,3.913e-05,0.00060466,2.38e-06,0,9.1e-07,2.492e-05,0,0
"90839-442",0.9999,9e-07,0,5.8e-07,0,0,0,4e-07,1.1e-07,0,4e-08,3e-08,2e-08,0,4e-08,4.9e-07,7.3e-07,0,1e-08,1.2e-07,4.4e-07,1e-08,0,0,4.4e-07,7.52e-06,8.661e-05,1.4e-07,0,3.2e-07,1.05e-06,0,0
"90839-443",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90839-444",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90839-445",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90839-446",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90839-447",0.9901,0.00080388,0,0.00025443,0,0,0,0,0,0,2.97e-06,0,9.9e-07,0,9.9e-07,4.851e-05,4.554e-05,0,0,9.9e-06,1.98e-06,0,0,0,7.326e-05,0.00046827,0.00792693,1.881e-05,0,1.287e-05,0.00023067,0,0
