"SampleID","SalmonID","Genotypic sex","species","Genetic_Stock_Best_Estimate","Probability_Best_Estimate","Genetic_Stock_2nd_Best_Estimate","Probability_2nd_Best_Estimate","PBT_Estimate","PBT_Hatchery_Probability"
"90839-590",50837,"F","chinook","Willamette_R","0.9991","Deschutes_R_fa","0","S_Santiam","0.978219"
"90839-591",50838,"M","chinook","Willamette_R","1","Deschutes_R_fa","0",NA,NA
"90839-592",50839,"M","chinook","Willamette_R","1","Deschutes_R_fa","0",NA,NA
"90839-593",50842,"M","chinook","Mid.Up_Columbia_R_sp","0.9427","Snake_R_sp","0.0573","SF_Walla_Walla","0.999255"
"90839-594",50843,"M","chinook","Snake_R_sp","0.5552856","Mid.Up_Columbia_R_sp","0.4377144","Clearwater","0.991712"
"90839-595",50844,"M","chinook","Mid.Up_Columbia_R_sp","0.8652445","Snake_R_sp","0.1321555","Little_White_Salmon_sp","0.999187"
"90839-596",50845,"F","chinook","Mid.Up_Columbia_R_sp","0.66780408","Snake_R_sp","0.07859592","Little_White_Salmon_sp","0.995649"
"90839-597",50846,"M","chinook","Snake_R_sp","1","Deschutes_R_fa","0","Rapid_River","0.999890"
"90839-598",50847,"M","chinook","Mid.Up_Columbia_R_sp","0.98111098","Snake_R_sp","0.00058902","Carson","0.997876"
"90839-599",50848,"F","chinook","Mid.Up_Columbia_R_sp","0.99940005","Snake_R_sp","0.00049995","Little_White_Salmon_sp","0.999502"
"90839-600",50849,"M","chinook","Mid.Up_Columbia_R_sp","0.8944","Snake_R_sp","0.1056","Winthrop","0.998485"
"90839-601",50850,"F","chinook","Snake_R_sp","0.9999","Mid.Up_Columbia_R_sp","0.0001","Rapid_River","0.997860"
"90839-602",50851,"M","chinook","Mid.Up_Columbia_R_sp","0.80789254","Snake_R_sp","0.00340746","Carson","0.999175"
"90839-603",50852,"F","chinook","Mid.Up_Columbia_R_sp","0.97310268","Snake_R_sp","0.02679732","Little_White_Salmon_sp","0.975895"
"90839-604",50853,"F","chinook","Mid.Up_Columbia_R_sp","0.957","Snake_R_sp","0.043","SF_Walla_Walla","0.979896"
"90839-605",50854,"M","chinook","Mid.Up_Columbia_R_sp","0.98401911","Snake_R_sp","0.00128089","Carson","0.999296"
"90839-606",50855,"F","chinook","Willamette_R","1","Deschutes_R_fa","0",NA,NA
"90839-607",50856,"M","chinook","Mid.Up_Columbia_R_sp","0.99060093","Snake_R_sp","0.00929907","Carson","0.998686"
"90839-609",50858,"F","chinook","Snake_R_sp","0.87365509","Mid.Up_Columbia_R_sp","0.05804491","Little_White_Salmon_sp","0.996444"
"90839-610",50871,"F","chinook","Mid.Up_Columbia_R_sp","0.54462755","Snake_R_sp","0.45487245",NA,NA
"90839-611",50872,"M","chinook","Up_Columbia_R_su.fa","0.99520551","Snake_R_fa","0.00289449","Little_White_Salmon_fa","0.995184"
"90839-612",50873,"F","chinook","Spring_Cr_Group_tule","1","Deschutes_R_fa","0","Bonneville","0.983607"
"90839-613",50874,"M","chinook","Spring_Cr_Group_tule","0.9989","Deschutes_R_fa","0","Bonneville","0.987179"
"90839-615",50876,"F","chinook","Spring_Cr_Group_tule","0.9941","Deschutes_R_fa","0","Bonneville","0.981362"
"90839-616",50877,"M","chinook","Spring_Cr_Group_tule","0.9995","Deschutes_R_fa","0",NA,NA
"90839-617",50878,"M","chinook","Spring_Cr_Group_tule","1","Deschutes_R_fa","0","Spring_Creek","0.984266"
"90839-618",50879,"F","chinook","Spring_Cr_Group_tule","1","Deschutes_R_fa","0","Spring_Creek","0.976494"
"90839-619",50880,"M","chinook","Spring_Cr_Group_tule","0.9993","Deschutes_R_fa","0",NA,NA
"90839-621",50895,"M","chinook","Willamette_R","0.9999","Deschutes_R_fa","0","Minto","0.878511"
"90839-622",50896,"M","chinook","Willamette_R","1","Deschutes_R_fa","0",NA,NA
"90839-623",50897,"F","chinook","Willamette_R","1","Deschutes_R_fa","0",NA,NA
"90839-625",50899,"M","chinook","Up_Columbia_R_su.fa","0.8276","Snake_R_fa","0.1724","Little_White_Salmon_fa","0.994287"
"90839-628",50902,"M","chinook","Willamette_R","1","Deschutes_R_fa","0",NA,NA
"90839-630",50904,"M","chinook","Up_Columbia_R_su.fa","0.99820056","Snake_R_fa","0.00139944","Lyons_Ferry_fa","0.973525"
"90839-631",50905,"M","chinook","Willamette_R","1","Deschutes_R_fa","0",NA,NA
"90839-632",50906,"F","chinook","Spring_Cr_Group_tule","0.9991","Deschutes_R_fa","0","Bonneville","0.937829"
"90839-633",50907,"M","chinook","Spring_Cr_Group_tule","0.99960003","W_Cascade_fa","0.00029997","Bonneville","0.993863"
"90839-634",50909,"F","chinook","Spring_Cr_Group_tule","0.9999","Deschutes_R_fa","0","Spring_Creek","0.969763"
"90839-635",50910,"F","chinook","Spring_Cr_Group_tule","0.9996","W_Cascade_sp","0.0004",NA,NA
"90839-636",50911,"M","chinook","Spring_Cr_Group_tule","0.9936","Deschutes_R_fa","0",NA,NA
"90839-637",50912,"M","chinook","Spring_Cr_Group_tule","0.9997","Deschutes_R_fa","0",NA,NA
"90839-639",50920,"M","chinook","Spring_Cr_Group_tule","0.9999","Deschutes_R_fa","0","Spring_Creek","0.889348"
"90839-640",50922,"M","chinook","Snake_R_sp","0.9812","Mid.Up_Columbia_R_sp","0.0188",NA,NA
"90839-641",50923,"M","chinook","Willamette_R","0.92370762","W_Cascade_sp","0.00009238",NA,NA
"90839-011",50060,"M","chinook","Chilkat_R","50060","Kamchatka","1",NA,NA
"90839-089",50158,"M","chinook","Chilkat_R","50158","Kamchatka","1",NA,NA
"90839-237",50324,"F","chinook","Chilkat_R","50324","Kamchatka","1",NA,NA
"90839-263",50375,"M","chinook","Chilkat_R","50375","Kamchatka","0.9996",NA,NA
"90839-323",50493,"M","chinook","Chilkat_R","50493","Kamchatka","1",NA,NA
"90839-467",50676,"M","chinook","Chilkat_R","50676","Kamchatka","1","Little_White_Salmon_sp","0.999607"
"90839-473",50682,"F","chinook","Chilkat_R","50682","Kamchatka","1","Little_White_Salmon_sp","0.999394"
"90839-484",50712,"F","chinook","Chilkat_R","50712","Kamchatka","1",NA,NA
"90839-525",50762,"M","chinook","Chilkat_R","50762","Kamchatka","0.9999",NA,NA
"90839-565",50812,"F","chinook","Chilkat_R","50812","Kamchatka","0.9999",NA,NA
"90839-629",50903,"F","chinook","Chilkat_R","50903","Kamchatka","0.9999",NA,NA
"90839-250",50362,"F","chinook","Rogue_R","50362","Cent_Valley_sp","0.9999",NA,NA
"90839-279",50436,"F","chinook","Rogue_R","50436","Cent_Valley_sp","0.9939",NA,NA
"90839-309",50479,"M","chinook","Rogue_R","50479","CA_Cst","1",NA,NA
"90839-420",50621,"M","chinook","Rogue_R","50621","Cent_Valley_sp","1",NA,NA
"90839-477",50686,"F","chinook","Rogue_R","50686","Cent_Valley_sp","1",NA,NA
"90839-485",50713,"M","chinook","Rogue_R","50713","Cent_Valley_sp","1",NA,NA
