"ID","Not regional","Deschutes_R_fa","Mid/Up_Columbia_R_sp","Snake_R_fa","Snake_R_sp","Spring_Cr_Group_tule","Up_Columbia_R_su/fa","W_Cascade_fa","W_Cascade_sp","Willamette_R"
"90839-063",0,0,0.0017,0,0.9983,0,0,0,0,0
"90839-064",0,0,0.1115,0,0.8885,0,0,0,0,0
"90839-065",0,0,2e-04,0,0.9998,0,0,0,0,0
"90839-066",0,0,0,0,0,0,0,0,0,1
"90839-067",0.000399999999999956,0,0.89774076,0,0.10185924,0,0,0,0,0
"90839-068",0.00139999999999996,0,0.98491918,0,0.01368082,0,0,0,0,0
"90839-069",0,0,0.025,0,0.975,0,0,0,0,0
"90839-070",0.000499999999999945,0,0.9627184,0,0.0367816,0,0,0,0,0
"90839-071",0.00129999999999997,0,0.84260319,0,0.15609681,0,0,0,0,0
"90839-072",0.000199999999999978,0,0.82113574,0,0.17866426,0,0,0,0,0
"90839-073",0.0071,0,0.96648886,0,0.02641114,0,0,0,0,0
"90839-074",0,0,0.0014,0,0.9986,0,0,0,0,0
"90839-075",0,0,0.0132,0,0.9868,0,0,0,0,0
"90839-076",0.000199999999999978,0,0.9998,0,0,0,0,0,0,0
"90839-077",0,0,1e-04,0,0.9999,0,0,0,0,0
"90839-078",0.000199999999999978,0,0.99950006,0,0.00029994,0,0,0,0,0
"90839-079",0.000800000000000023,0,0.86121048,0,0.13798952,0,0,0,0,0
"90839-080",0,0,0.606,0,0.394,0,0,0,0,0
"90839-081",0,0,0,1e-04,0,0,0.9999,0,0,0
"90839-082",0.00149999999999995,0,0.02066895,0,0.97783105,0,0,0,0,0
"90839-083",0.0638,0,0.6361479,0,0.3000521,0,0,0,0,0
"90839-084",0.000199999999999978,0,0.06888622,0,0.93091378,0,0,0,0,0
"90839-085",0.00819999999999999,0,0.31152438,0,0.68027562,0,0,0,0,0
"90839-086",0.000499999999999945,0,0.41249365,0,0.58700635,0,0,0,0,0
"90839-087",0.00249999999999995,0,0.987525,0,0.009975,0,0,0,0,0
"90839-088",0,0,0.0041,0,0.9959,0,0,0,0,0
"90839-089",0.8361,0,0.15886827,0,0.00503173,0,0,0,0,0
"90839-090",0.000399999999999956,0,0.94302264,0,0.05657736,0,0,0,0,0
"90839-091",9.9999999999989e-05,0,0.10748925,0,0.89241075,0,0,0,0,0
"90839-092",0,0,4e-04,0,0.9996,0,0,0,0,0
"90839-093",0,0,0.0593,0,0.9407,0,0,0,0,0
"90839-094",0.0528,0,0.9315712,0,0.0156288,0,0,0,0,0
"90839-095",0,0,0.0015,0,0.9985,0,0,0,0,0
"90839-096",0.000299999999999967,0,0.93052076,0,0.06917924,0,0,0,0,0
